,compound_name,cas_number,species,strain,dosage,avg_lifespan_change,max_lifespan_change,gender,significance,pubmed_id
2191,Ibuprofen,15687-27-1,Drosophila melanogaster,Canton-S,1 μM,3.69,,MALE,NS,25521617
2190,Ibuprofen,15687-27-1,Drosophila melanogaster,Canton-S,0.5 μM,9.65,,MALE,NS,25521617
2194,Ibuprofen,15687-27-1,Drosophila melanogaster,Canton-S,1 μM,0.17,,FEMALE,NS,25521617
2189,Ibuprofen,15687-27-1,Drosophila melanogaster,Canton-S,0.3 μM,1.02,,MALE,NS,25521617
863,Ibuprofen,15687-27-1,Caenorhabditis elegans,N2,0.4 mM,6.96,,HERMAPHRODITE,S,25521617
858,Ibuprofen,15687-27-1,Caenorhabditis elegans,N2,0.01 mM,4.63,,HERMAPHRODITE,S,25521617
859,Ibuprofen,15687-27-1,Caenorhabditis elegans,N2,0.025 mM,9.67,,HERMAPHRODITE,S,25521617
860,Ibuprofen,15687-27-1,Caenorhabditis elegans,N2,0.05 mM,7.13,,HERMAPHRODITE,S,25521617
861,Ibuprofen,15687-27-1,Caenorhabditis elegans,N2,0.1 mM,10.51,,HERMAPHRODITE,S,25521617
862,Ibuprofen,15687-27-1,Caenorhabditis elegans,N2,0.2 mM,7.39,,HERMAPHRODITE,NS,25521617
857,ISRIB,,Caenorhabditis elegans,N2,20 µM,-3.0,,,NS,33723245
855,IP6,,Caenorhabditis elegans,N2,50 mM,11.0,13.0,,S,32901024
856,IP6,,Caenorhabditis elegans,N2,10 mM,10.0,12.0,,S,32901024
854,IP6,,Caenorhabditis elegans,N2,3 mM,3.0,2.0,,S,32901024
2188,IMS2186,,Drosophila melanogaster,Canton-S,200 μM,-10.04,,Male,NS,33008901
853,IMS2186,,Caenorhabditis elegans,N2,10 µM,-5.2,,,S,33008901
2187,IBet,1260907-17-2,Drosophila melanogaster,Canton-S,200 μM,-2.3,,Male,NS,33008901
2186,IBet,1260907-17-2,Drosophila melanogaster,Canton-S,20 μM,-3.7,,Female,NS,33008901
852,I-BET,,Caenorhabditis elegans,N2,10 µM,4.92,,,NS,33008901
851,I-BET,,Caenorhabditis elegans,N2,100 µM,-14.31,,,S,33008901
2185,Hypotaurine,300-84-5,Drosophila melanogaster,Oregon-R,0.001 M,2.18,,MALE,NS,2495975
2184,Hypotaurine,300-84-5,Drosophila melanogaster,Oregon-R,0.01 M,2.38,,MALE,NS,2495975
2183,Hypotaurine,300-84-5,Drosophila melanogaster,Oregon-R,0.1 M,-39.76,,MALE,S,2495975
850,Hypotaurine,300-84-5,Caenorhabditis elegans,N2,10 mM,18.27,,,S,31799533
2180,Hydroxyprogesterone caproate,630-56-8,Drosophila melanogaster,Canton-S,200 μM,2.63,,Male,NS,33008901
2182,Hydroxyprogesterone caproate,630-56-8,Drosophila melanogaster,Canton-S,200 μM,-1.53,,Male,NS,33008901
2181,Hydroxyprogesterone caproate,630-56-8,Drosophila melanogaster,Canton-S,20 μM,7.25,,Female,NS,33008901
849,Hydroxyprogesterone caproate,630-56-8,Caenorhabditis elegans,N2,100 µM,-0.4,,,NS,33008901
848,Hydroxyprogesterone caproate,630-56-8,Caenorhabditis elegans,N2,10 µM,-2.18,,,NS,33008901
2869,Hydroxylamine Hydrochloride,01/11/5470,Mus musculus,Swiss,1% w,-4.54,,MALE,O,13711616
2870,Hydroxylamine Hydrochloride,01/11/5470,Mus musculus,Swiss,2% w,-4.53,,MALE,O,13711616
2867,Hydroxylamine Hydrochloride,01/11/5470,Mus musculus,C3H,1% w,6.89,,FEMALE,O,13711616
2868,Hydroxylamine Hydrochloride,01/11/5470,Mus musculus,C3H,2% w,-10.34,,FEMALE,O,13711616
2179,Hydrogen iodide,10034-85-2,Drosophila melanogaster,Oregon-R,4 μM,-6.9,,MALE,O,412727
2178,Hydrogen iodide,10034-85-2,Drosophila melanogaster,Oregon-R,0.4 μM,-5.2,,MALE,O,412727
847,Hydrogen Sulphide,04/06/7783,Caenorhabditis elegans,N2,50 ppm,74.0,,,S,18077331
2175,Hydrocortisone acetate,50-03-3,Drosophila melanogaster,cross between Canton S females with Oregon RC males,120 mg/100 mL of medium,32.0,15.0,Male,S,4397875
2174,Hydrocortisone acetate,50-03-3,Drosophila melanogaster,cross between Canton S females with Oregon RC males,10 mg/100 mL of medium,32.0,16.0,Male,S,4397875
2177,Hydrocortisone acetate,50-03-3,Drosophila melanogaster,cross between Canton S females with Oregon RC males,10 mg/100 mL of medium,30.0,18.0,Female,S,4397875
2176,Hydrocortisone acetate,50-03-3,Drosophila melanogaster,cross between Canton S females with Oregon RC males,500 mg/100 mL of medium,25.0,20.0,Female,S,4397875
3073,Hydrocortisone,50-23-7,Rattus norvegicus,Sprague Dawley,37.5 mg/kg/week,2.12,,FEMALE,NS,132031
3072,Hydrocortisone,50-23-7,Rattus norvegicus,Sprague Dawley,37.5 mg/kg/week,-2.08,,MALE,NS,132031
846,Hydralazine,86-54-4,Caenorhabditis elegans,N2,100 µM,20.0,,,S,31659167
845,Hydralazine,86-54-4,Caenorhabditis elegans,N2,50 µM,14.83,,,S,29263362
844,Hydralazine,86-54-4,Caenorhabditis elegans,N2,100 µM,23.29,,,S,29263362
99,Hydralazine,86-54-4,Brachionus manjavacas,,1 µM,9.01,0.0,,S,27484416
843,Huperzine A,102518-79-6,Caenorhabditis elegans,N2,300 µM,13.8,,,S,23523941
842,HuminFeed,,Caenorhabditis elegans,N2,400 µM,12.5,,,S,22529848
841,Huanshao dan,,Caenorhabditis elegans,N2,6.8 g/L,38.3,,,S,24952637
840,Hon Tsai Tai Extract,,Caenorhabditis elegans,N2,2 mg/ml,7.97,,,S,26726147
838,Homocysteine,454-29-5,Caenorhabditis elegans,N2,5 mM,7.0,,,S,25643626
839,Homocysteine,454-29-5,Caenorhabditis elegans,N2,1 mM,13.0,,,S,25643626
837,Holothuria scabra,,Caenorhabditis elegans,N2,0.1% DMSO,8.12,,,S,29902502
833,Histidine,71-00-1,Caenorhabditis elegans,N2,5 mM,10.0,,,S,25643626
835,Histidine,71-00-1,Caenorhabditis elegans,N2,5 mM,9.0,,,S,25643626
836,Histidine,71-00-1,Caenorhabditis elegans,N2,10 mM,12.0,,,S,25643626
834,Histidine,71-00-1,Caenorhabditis elegans,N2,1 mM,4.0,,,NS,25643626
832,Hispidol,5786-54-9,Caenorhabditis elegans,N2,25 µM,25.29,,,S,33179346
831,Hispidol,5786-54-9,Caenorhabditis elegans,N2,50 µM,31.32,,,S,33179346
830,Hexahydro-sila-diphenidol,98299-40-2,Caenorhabditis elegans,,88 µM,15.0,,,S,24134630
2863,Hexachlorophene,70-30-4,Mus musculus,C57BL,150 mg/kg,-9.47,,FEMALE,O,728888
2865,Hexachlorophene,70-30-4,Mus musculus,XVII/G,150 mg/kg,-6.57,,FEMALE,O,728888
2866,Hexachlorophene,70-30-4,Mus musculus,XVII/G,150 mg/kg,8.64,,MALE,O,728888
2864,Hexachlorophene,70-30-4,Mus musculus,C57BL,150 mg/kg,5.88,,MALE,O,728888
3150,Hesperidin,520-26-3,Saccharomyces cerevisiae,BY4741,50 µM,4.6,,,S,22484922
3148,Hesperidin,520-26-3,Saccharomyces cerevisiae,BY4741,5 µM,15.4,,,S,22484922
3149,Hesperidin,520-26-3,Saccharomyces cerevisiae,BY4741,10 µM,36.9,,,S,22484922
2172,Haloperidol,52-86-8,Drosophila melanogaster,Canton-S,20 μM,8.82,,Female,S,33008901
2173,Haloperidol,52-86-8,Drosophila melanogaster,Canton-S,200 μM,3.9,,Male,NS,33008901
829,HF-HQ,,Caenorhabditis elegans,N2,400 µM,20.0,,,S,22529848
828,HF,7440-58-6,Caenorhabditis elegans,N2,1 mg/L,12.7,20.0,,S,33974957
2171,HA-1077,103745-39-7,Drosophila melanogaster,Oregon R,10 µM,14.5,,,S,22363408
2170,HA-1004,91742-10-8,Drosophila melanogaster,Oregon R,1-10 µM,18.0,,,S,22363408
2169,Guduchi Churna,,Drosophila melanogaster,Oregon-K,0.7 g/100 ml,85.91,,,S,28827958
2168,Guduchi Churna,,Drosophila melanogaster,Oregon-K,0.50g/100ml,155.65,,Pooled,S,28827958
2167,Guduchi Churna,,Drosophila melanogaster,Oregon-K,0.25g/100ml,193.83,,Pooled,S,28827958
3147,Guanine,73-40-5,Saccharomyces cerevisiae,BY4742,20 mg/L,-2.99,,,NS,32232569
827,Guanfacine hydrochloride,29110-48-3,Caenorhabditis elegans,,13 µM,15.0,,,S,24134630
826,Guanabenz acetate,23256-50-0,Caenorhabditis elegans,,88 µM,12.0,,,S,24134630
2166,Green tea polyphenols,,Drosophila melanogaster,w1118,10 mg/ml,19.0,,Male,S,25058464
2862,Green tea polyphenols,,Mus musculus,C57BL/6J,80 mg/l,6.4,1.3,MALE,S,17516143
2861,Green tea polyphenols,,Mus musculus,Sprague-Dawley,80 mg/L,6.4,,Male,S,15247057
2859,Green tea extract,989-51-5,Mus musculus,UM-HET3,2000 mg/kg of food,6.6,,Female,NS,22451473
2162,Green tea extract,989-51-5,Drosophila melanogaster,Oregon R,Instead of water,8.6,,Male,S,8326745
2163,Green tea extract,989-51-5,Drosophila melanogaster,Oregon-R-C,5 mg/ml,7.8,5.3,,S,17440995
2164,Green tea extract,989-51-5,Drosophila melanogaster,Oregon-R-C,10 mg/ml,15.7,5.3,,S,17440995
2165,Green tea extract,989-51-5,Drosophila melanogaster,Oregon-R-C,1 mg/ml,5.9,5.3,,S,17440995
825,Green tea extract,989-51-5,Caenorhabditis elegans,,0.25 mg/ml,,,,S,28750751
824,Green tea extract,989-51-5,Caenorhabditis elegans,,0.125 mg/ml,,,,S,28750751
2860,Green tea extract,989-51-5,Mus musculus,UM-HET3,2000 mg/kg of food,4.6,,Male,NS,22451473
822,Gramicidin,,Caenorhabditis elegans,N2,10 µM,-3.93,,,NS,33008901
823,Gramicidin,,Caenorhabditis elegans,N2,100 µM,-3.69,,,S,33008901
2161,Gramicidin,,Drosophila melanogaster,Canton-S,200 μM,-0.41,,Male,NS,33008901
2160,Gramicidin,,Drosophila melanogaster,Canton-S,20 μM,4.46,,Female,NS,33008901
821,Gr-4D,,Caenorhabditis elegans,N2,60 μM,50.5,,,S,31879284
820,Glycyrrhizae radix,,Caenorhabditis elegans,N2,0.24 g/mL,18.0,,,S,26626487
819,Glycyrrhizae radix,,Caenorhabditis elegans,N2,0.18 g/ml,12.5,,,S,26626487
2858,Glycine,56-40-6,Mus musculus,,8%,3.7,,male,S,30916479
814,Glycine,56-40-6,Caenorhabditis elegans,N2,1 mM,10.0,,,S,25643626
2857,Glycine,56-40-6,Mus musculus,,8%,6.2,,female,S,30916479
818,Glycine,56-40-6,Caenorhabditis elegans,N2,5 µM,7.85,,,S,30845140
817,Glycine,56-40-6,Caenorhabditis elegans,N2,500 µM,19.54,,,S,30845140
816,Glycine,56-40-6,Caenorhabditis elegans,N2,50 µM,17.6,,,S,30845140
815,Glycine,56-40-6,Caenorhabditis elegans,N2,10 mM,-4.0,,,NS,25643626
813,Glycine,56-40-6,Caenorhabditis elegans,N2,5 mM,3.0,,,NS,25643626
808,Glycerol,56-81-5,Caenorhabditis elegans,N2,1%,-36.0,,,S,19883616
811,Glycerol,56-81-5,Caenorhabditis elegans,N2,10 mM,21.0,,,S,25643626
812,Glycerol,56-81-5,Caenorhabditis elegans,N2,500 mM,33.55,31.58,,S,26854551
98,Glycerol,56-81-5,Brachionus manjavacas,,274 mM,51.0,,,S,24835191
809,Glycerol,56-81-5,Caenorhabditis elegans,N2,1%,-23.0,,,S,19883616
810,Glycerol,56-81-5,Caenorhabditis elegans,N2,1%,-24.0,,,S,19883616
3139,Glyceollin I,57103-57-8,Saccharomyces cerevisiae,,5 nM,,,,S,24399048
3145,Glyceollin I,57103-57-8,Saccharomyces cerevisiae,,25000 nM,,,,S,24399048
3136,Glyceollin I,57103-57-8,Saccharomyces cerevisiae,,12.5 nM,40.0,,,S,24399048
3137,Glyceollin I,57103-57-8,Saccharomyces cerevisiae,,100000 nM,,,,O,24399048
3138,Glyceollin I,57103-57-8,Saccharomyces cerevisiae,,0.5 nM,,,,S,24399048
3146,Glyceollin I,57103-57-8,Saccharomyces cerevisiae,,25 nM,,,,S,24399048
3140,Glyceollin I,57103-57-8,Saccharomyces cerevisiae,,10 nM,,,,S,24399048
3142,Glyceollin I,57103-57-8,Saccharomyces cerevisiae,,1 nM,,,,S,24399048
3143,Glyceollin I,57103-57-8,Saccharomyces cerevisiae,,100 nM,,,,S,24399048
3144,Glyceollin I,57103-57-8,Saccharomyces cerevisiae,,1250 nM,,,,S,24399048
3141,Glyceollin I,57103-57-8,Saccharomyces cerevisiae,,50 nM,,,,S,24399048
807,Glutathione,98726-08-0,Caenorhabditis elegans,N2,5 mM,-13.9,,,S,34267196
806,Glutathione,98726-08-0,Caenorhabditis elegans,N2,25 µL Liposomes + 360 µg glutathione,,50.0,,S,19580823
805,Glutamine,56-85-9,Caenorhabditis elegans,N2,5 mM,16.0,,,S,25643626
804,Glutamine,56-85-9,Caenorhabditis elegans,N2,10 mM,-6.0,,,S,25643626
803,Glutamine,56-85-9,Caenorhabditis elegans,N2,1 mM,15.0,,,S,25643626
802,Glutamate,25513-46-6,Caenorhabditis elegans,N2,5 mM,11.0,,,S,25643626
801,Glutamate,25513-46-6,Caenorhabditis elegans,N2,10 mM,-8.0,,,S,25643626
800,Glutamate,25513-46-6,Caenorhabditis elegans,N2,1 mM,14.0,,,S,25643626
799,Glucose,2280-44-6,Caenorhabditis elegans,N2,400 mM,-18.69,,,S,27776915
782,Glucose,2280-44-6,Caenorhabditis elegans,N2,2%,-20.0,,,S,19883616
786,Glucose,2280-44-6,Caenorhabditis elegans,N2,2%,-23.0,,,S,19883616
797,Glucose,2280-44-6,Caenorhabditis elegans,N2,2%,-23.75,-20.97,,S,26764305
798,Glucose,2280-44-6,Caenorhabditis elegans,N2,111 mM,-46.8,,,S,27680107
785,Glucose,2280-44-6,Caenorhabditis elegans,N2,2%,-28.0,,,S,19883616
796,Glucose,2280-44-6,Caenorhabditis elegans,N2,4%,37.5,7.14,,S,26764305
795,Glucose,2280-44-6,Caenorhabditis elegans,N2,2%,31.25,14.29,,S,26764305
794,Glucose,2280-44-6,Caenorhabditis elegans,N2,1%,12.5,0.0,,NS,26764305
784,Glucose,2280-44-6,Caenorhabditis elegans,N2,2%,-17.0,,,S,19883616
792,Glucose,2280-44-6,Caenorhabditis elegans,N2,2%,-5.88,12.5,,S,26764305
791,Glucose,2280-44-6,Caenorhabditis elegans,N2,1%,-5.88,12.5,,NS,26764305
783,Glucose,2280-44-6,Caenorhabditis elegans,N2,2%,-31.0,,,S,19883616
790,Glucose,2280-44-6,Caenorhabditis elegans,N2,4%,-23.6,-17.24,,S,26764305
789,Glucose,2280-44-6,Caenorhabditis elegans,N2,2%,0.0,0.0,,NS,26764305
793,Glucose,2280-44-6,Caenorhabditis elegans,N2,4%,-17.65,-8.33,,S,26764305
787,Glucose,2280-44-6,Caenorhabditis elegans,N2,2%,-16.0,,,S,19883616
3135,Glucose,2280-44-6,Saccharomyces cerevisiae,PSY316,20%,63.1,,,O,12391171
3134,Glucose,2280-44-6,Saccharomyces cerevisiae,PSY316,10%,19.8,,,O,12391171
775,Glucose,2280-44-6,Caenorhabditis elegans,N2,2%,-19.0,,,S,19883616
776,Glucose,2280-44-6,Caenorhabditis elegans,N2,2%,-11.0,,,S,19883616
777,Glucose,2280-44-6,Caenorhabditis elegans,N2,2%,0.0,,,NS,19883616
778,Glucose,2280-44-6,Caenorhabditis elegans,N2,2%,11.0,,,NS,19883616
779,Glucose,2280-44-6,Caenorhabditis elegans,N2,2%,-9.0,,,S,19883616
780,Glucose,2280-44-6,Caenorhabditis elegans,N2,2%,-24.0,,,S,19883616
788,Glucose,2280-44-6,Caenorhabditis elegans,N2,102%,-17.0,,,S,19883616
781,Glucose,2280-44-6,Caenorhabditis elegans,N2,2%,-15.0,,,S,19883616
2150,Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.5M 2x/week,0.0,,Male,O,110607
2145,Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,1 M,-9.3,,Male,O,110607
2151,Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.25M 2x/week,3.8,,Male,O,110607
2149,Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.001 M,-1.8,,Male,O,110607
2146,Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.1 M,-5.2,,Male,O,110607
2148,Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.001 M,0.0,,Male,O,110607
2152,Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.01M 2x/week,3.8,,Male,O,110607
2153,Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.01 M,5.3,,Male,O,110607
2154,Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.5 M,9.3,,Male,O,110607
2155,Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.1 M,12.3,,Male,O,110607
2156,Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.1 M,20.8,,Male,O,110607
2158,Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.25 M,22.2,,Male,O,110607
2159,Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.01 M,7.2,,Male,O,110607
2157,Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.1 M,14.3,,Male,O,110607
2147,Gluconic acid,133-42-6,Drosophila melanogaster,Oregon R,0.01 M,0.0,,Male,O,110607
774,Gluconate,133-42-6,Caenorhabditis elegans,N2,1 mM,8.0,,,S,25643626
773,Gluconate,133-42-6,Caenorhabditis elegans,N2,10 mM,16.0,,,S,25643626
772,Gluconate,133-42-6,Caenorhabditis elegans,N2,5 mM,17.0,,,S,25643626
2136,Glucomannan Hydrolysate,,Drosophila melanogaster,B18,0.25% w/v,20.2,,Male,S,30137218
2137,Glucomannan Hydrolysate,,Drosophila melanogaster,B18,0.25% w/v,14.88,,Female,S,30137218
2138,Glucomannan Hydrolysate,,Drosophila melanogaster,Oregon-R,0.25% w/v,11.7,,Female,S,30137218
2144,Glucomannan Hydrolysate,,Drosophila melanogaster,DGRP-136,0.25% w/v,7.3,,Female,S,30137218
2140,Glucomannan Hydrolysate,,Drosophila melanogaster,DGRP-21,0.25% w/v,13.4,,Female,S,30137218
2141,Glucomannan Hydrolysate,,Drosophila melanogaster,DGRP-38,0.25% w/v,10.1,,Female,S,30137218
2142,Glucomannan Hydrolysate,,Drosophila melanogaster,DGRP-40,0.25% w/v,4.6,,Female,S,30137218
2143,Glucomannan Hydrolysate,,Drosophila melanogaster,DGRP-85,0.25% w/v,10.0,,Female,S,30137218
2139,Glucomannan Hydrolysate,,Drosophila melanogaster,Canton-S,0.25% w/v,17.66,,Female,S,30137218
768,Gliotoxin,67-99-2,Caenorhabditis elegans,N2,63 nmol,-9.54,,,NS,19235201
769,Gliotoxin,67-99-2,Caenorhabditis elegans,N2,125 nmol,-4.02,,,NS,19235201
770,Gliotoxin,67-99-2,Caenorhabditis elegans,N2,250 nmol,-2.01,,,NS,19235201
771,Gliotoxin,67-99-2,Caenorhabditis elegans,N2,500 nmol,0.9,,,NS,19235201
767,Glaucarubinone,1259-86-5,Caenorhabditis elegans,N2,100 nM,7.9,9.0,,S,21264793
2856,Ginseng,50647-08-0,Mus musculus,LACa,40 mg/kg/day,2.79,13.7,FEMALE,NS,571386
2855,Ginseng,50647-08-0,Mus musculus,LACa,40 mg/kg/day,-2.39,10.71,MALE,NS,571386
2854,Ginseng,50647-08-0,Mus musculus,LACa,40 mg/kg/day,8.87,2.41,FEMALE,NS,571386
2853,Ginseng,50647-08-0,Mus musculus,LACa,40 mg/kg/day,-1.59,0.0,MALE,NS,571386
766,Ginkgo biloba extract,111-30-8,Caenorhabditis elegans,N2,100 µg/ml,8.0,,,O,16872777
3071,Ginkgo biloba extract,111-30-8,Rattus norvegicus,Fischer 344,50 mg/kg,17.4,,Male,S,9469738
765,Geri-BP002A,,Caenorhabditis elegans,N2,100 µM,6.4,,,S,33008901
764,Geri-BP002A,,Caenorhabditis elegans,N2,10 µM,8.15,,,S,33008901
2852,Geranylgeranylacetone,3796-63-2,Mus musculus,UM-HET3,600 ppm,5.0,,MALE,NS,33788371
2851,Geranylgeranylacetone,3796-63-2,Mus musculus,UM-HET3,600 ppm,2.0,,FEMALE,NS,33788371
2127,Genistein,446-72-0,Drosophila melanogaster,Oregon-R,1 μL/100 mL,-14.11,-5.26,FEMALE,S,21127834
2128,Genistein,446-72-0,Drosophila melanogaster,Oregon-R,3 μL/100 mL,-20.49,-12.28,FEMALE,S,21127834
2129,Genistein,446-72-0,Drosophila melanogaster,Oregon-R,5 μL/100 mL,-31.95,-24.56,FEMALE,S,21127834
2130,Genistein,446-72-0,Drosophila melanogaster,Oregon-R,10 μL/100 mL,-42.86,-36.84,FEMALE,S,21127834
2131,Genistein,446-72-0,Drosophila melanogaster,Oregon-R,1 μL/100 mL,-14.53,-7.27,MALE,S,21127834
2132,Genistein,446-72-0,Drosophila melanogaster,Oregon-R,3 μL/100 mL,-18.99,-12.73,MALE,S,21127834
2133,Genistein,446-72-0,Drosophila melanogaster,Oregon-R,5 μL/100 mL,-30.97,-27.27,MALE,S,21127834
761,Genistein,446-72-0,Caenorhabditis elegans,N2,50 µM,10.0,,,S,25593647
2134,Genistein,446-72-0,Drosophila melanogaster,Oregon-R,10 μL/100 mL,-41.75,-40.0,MALE,S,21127834
2135,Genistein,446-72-0,Drosophila melanogaster,Canton-S,200 μM,-9.17,,Male,S,33008901
14,Genistein,446-72-0,Aedes aegypti,Liverpool,100 µM,61.5,-15.64,MALE,S,27732590
762,Genistein,446-72-0,Caenorhabditis elegans,N2,100 µM,27.9,,,S,25593647
763,Genistein,446-72-0,Caenorhabditis elegans,N2,100 µM,-0.72,,,NS,33008901
15,Genistein,446-72-0,Aedes aegypti,Liverpool,100 µM,10.0,3.35,FEMALE,S,27732590
758,Geldanamycin,30562-34-6,Caenorhabditis elegans,N2,20 µM,2.0,,,NS,26676933
759,Geldanamycin,30562-34-6,Caenorhabditis elegans,N2,10 µM,3.51,,,S,33008901
760,Geldanamycin,30562-34-6,Caenorhabditis elegans,N2,100 µM,0.84,,,NS,33008901
2126,Geldanamycin,30562-34-6,Drosophila melanogaster,Canton-S,200 μM,5.56,,Male,NS,33008901
2125,Geldanamycin,30562-34-6,Drosophila melanogaster,Canton-S,20 μM,0.22,,Female,NS,33008901
2124,Gedunin,2753-30-2,Drosophila melanogaster,Canton-S,20 μM,4.45,,Female,NS,33008901
2123,Gedunin,2753-30-2,Drosophila melanogaster,Canton-S,200 μM,-0.34,,Male,NS,33008901
2122,Gedunin,2753-30-2,Drosophila melanogaster,Canton-S,200 μM,-2.26,,Male,NS,33008901
757,Gedunin,2753-30-2,Caenorhabditis elegans,N2,10 µM,2.24,,,NS,33008901
754,Gedunin,2753-30-2,Caenorhabditis elegans,N2,100 µM,0.92,,,NS,33008901
756,Gedunin,2753-30-2,Caenorhabditis elegans,N2,100 µM,1.97,,,NS,33008901
2121,Gedunin,2753-30-2,Drosophila melanogaster,Canton-S,200 μM,4.48,,Male,NS,33008901
755,Gedunin,2753-30-2,Caenorhabditis elegans,N2,10 µM,6.82,,,S,33008901
753,Garlic extract,539-86-6,Caenorhabditis elegans,N2,50 ppm,21.0,,,S,25940980
752,Ganoderma lucidum extract,,Caenorhabditis elegans,N2,7.5 mg/mL,35.83,11.76,,S,30476533
750,Gamma-tocopherol,54-28-4,Caenorhabditis elegans,fem-1(hc17),200 µg/ml,21.0,,,S,17169403
751,Gamma-tocopherol,54-28-4,Caenorhabditis elegans,N2,43 µg,10.1,12.3,,S,22484623
749,Gamma-tocopherol,54-28-4,Caenorhabditis elegans,fem-1(hc17),20 µg/ml,17.0,,,S,17169403
748,Gallic Acid,149-91-7,Caenorhabditis elegans,N2,800 µM,2.06,,,NS,21805983
747,Gallic Acid,149-91-7,Caenorhabditis elegans,N2,400 μM,5.03,,,S,21805983
746,Gallic Acid,149-91-7,Caenorhabditis elegans,N2,200 µM,4.89,,,S,21805983
745,Gallic Acid,149-91-7,Caenorhabditis elegans,N2,100 µM,5.34,,,S,21805983
744,Gallic Acid,149-91-7,Caenorhabditis elegans,N2,300 µM,10.0,,,S,21805983
2119,Galactose,10257-28-0,Drosophila melanogaster,,6.50%,-12.6,-12.9,Male,S,15547319
742,Galactose,10257-28-0,Caenorhabditis elegans,N2,1 mM,1.0,,,NS,25643626
2120,Galactose,10257-28-0,Drosophila melanogaster,,6.50%,-15.9,-17.1,Female,S,15547319
3005,Galactose,10257-28-0,Musca domestica,,20 mg/ml,-27.1,-27.1,Male,S,15547319
3006,Galactose,10257-28-0,Musca domestica,,20 mg/ml,-19.8,-21.9,Female,S,15547319
743,Galactose,10257-28-0,Caenorhabditis elegans,N2,10 mM,6.0,,,S,25643626
741,GYY4137,106740-09-4,Caenorhabditis elegans,N2,100 µM,20.9,,,S,24260346
740,GYY4137,106740-09-4,Caenorhabditis elegans,N2,100 µM,0.4,,,NS,24093496
739,G109,163972-12-1,Caenorhabditis elegans,N2,30 µM,6.25,-8.69,,S,25437839
2117,Furosemide,54-31-9,Drosophila melanogaster,Canton-S,200 μM,-5.49,,Male,S,33008901
738,Furosemide,54-31-9,Caenorhabditis elegans,N2,100 µM,-7.35,,,S,33008901
737,Furosemide,54-31-9,Caenorhabditis elegans,N2,10 µM,-6.88,,,S,33008901
2118,Furosemide,54-31-9,Drosophila melanogaster,Canton-S,20 μM,-3.76,,Female,NS,33008901
736,Fumarate,142-42-7,Caenorhabditis elegans,N2,10 mM,16.0,,,S,23472183
2116,Fucoxanthin,3351-86-8,Drosophila melanogaster,Canton S,1 µM,6.2,0.0,,S,29504896
2115,Fucoxanthin,3351-86-8,Drosophila melanogaster,Canton S,1 µM,14.9,4.4,,S,29504896
735,Fucoxanthin,3351-86-8,Caenorhabditis elegans,N2,5 µM,14.0,24.0,,S,26292053
734,Fructose,57-48-7,Caenorhabditis elegans,N2,555 mM,-31.79,,,S,27680107
733,Fructose,57-48-7,Caenorhabditis elegans,N2,100 mM,45.66,,,S,27680107
732,Fructose,57-48-7,Caenorhabditis elegans,N2,55 mM,21.96,,,S,27680107
2114,Freeze dried royal jelly,,Drosophila melanogaster,Oregon R,1% w/v,8.5,-4.0,Male,S,23132575
731,Formonoetin,,Caenorhabditis elegans,N2,10 µM,0.74,,,NS,33008901
730,Formonoetin,,Caenorhabditis elegans,N2,100 µM,6.06,,,S,33008901
729,Folic acid,59-30-3,Caenorhabditis elegans,N2,25 µM,15.0,,,S,26546011
728,Folic acid,59-30-3,Caenorhabditis elegans,N2,10 µM,17.1,,,S,26546011
727,Folic acid,59-30-3,Caenorhabditis elegans,N2,25 µM,26.6,,,S,26546011
726,Folic acid,59-30-3,Caenorhabditis elegans,N2,50 µM,0.2,,,NS,26546011
2113,Fluvoxamine,54739-18-3,Drosophila melanogaster,Canton-S,20 μM,13.68,,Female,S,33008901
725,Fluvoxamine,54739-18-3,Caenorhabditis elegans,N2,100 µM,-5.47,,,S,33008901
724,Fluvoxamine,54739-18-3,Caenorhabditis elegans,N2,10 µM,-9.64,,,S,33008901
723,Fluvastatin,93957-54-1,Caenorhabditis elegans,N2,50 µM,13.0,,,S,24923838
722,Fluvastatin,93957-54-1,Caenorhabditis elegans,N2,20 μM,14.0,,,S,24923838
2112,Fluspirilene,1841-19-6,Drosophila melanogaster,Canton-S,20 μM,8.86,,Female,S,33008901
720,Fluspirilene,1841-19-6,Caenorhabditis elegans,N2,10 µM,-3.73,,,S,33008901
2111,Fluspirilene,1841-19-6,Drosophila melanogaster,Canton-S,200 μM,-3.11,,Male,NS,33008901
